WhiteMatter	GlobalSignal	stdDVARS	non-stdDVARS	vx-wisestdDVARS	FramewiseDisplacement	tCompCor00	tCompCor01	tCompCor02	tCompCor03	tCompCor04	tCompCor05	aCompCor00	aCompCor01	aCompCor02	aCompCor03	aCompCor04	aCompCor05	Cosine00	Cosine01	Cosine02	X	Y	Z	RotX	RotY	RotZ
0.11053961515426636	-2.441048622131348	n/a	n/a	n/a	n/a	-0.0725202924	-0.04440716	0.0004390272	0.000391189	0.218671351	0.0978437133	-0.0610717354	-0.0708536429	0.0257249598	-0.0378749082	0.18253079579999998	-0.13343733859999998	0.1015312882	0.1015213037	0.1015046634	1.57451e-05	-0.055161	0.0300489	0.000729211	-0.000661887	0.0
0.19436264038085935	-1.5938967466354368	1.08439779	38.91759109	0.98653013	0.07599714509999998	0.09743809390000001	-0.0919615052	-0.0052738743	0.011042986599999999	0.1528741959	-0.0307751139	0.088766339	-0.0831823509	0.0094612254	-0.0389300505	0.0363933544	-0.1507457337	0.1015046634	0.1014148218	0.1012651448	-0.0058979	-0.0703798	0.0483828	0.000257805	-0.000402677	0.0
-0.5290957689285278	-0.5742595195770264	1.14863229	41.22288132	1.00438356	0.02801088	0.029231632	0.1207427025	-0.09389523220000001	-0.0517396963	0.0688776925	-0.0569367737	0.0070836712	0.1074121091	-0.102530994	-0.0314287081	-0.0023427994	-0.08815109289999999	0.1014514208	0.10120196990000001	0.1007866726	-0.00391672	-0.0603448	0.0415683	0.000348206	-0.00049588	0.0
-0.6860259771347046	-0.28667786717414856	1.13459182	40.71899033	0.99284852	0.029754392	-0.1328102207	-0.0629733761	0.021076091800000002	0.007915408399999999	0.0777136817	-0.0494768708	-0.11189351550000001	-0.0762326019	0.054437314199999996	-0.025735545099999996	0.0287460881	-0.082455918	0.1013715742	0.100882971	0.100070376	0.000135672	-0.0656673	0.0294888	0.000333387	-0.000344699	-1.3234899999999996e-23
-0.6250910758972168	0.05318034812808037	1.1609863	41.66625214	0.97659314	0.063286208	0.13317798449999999	-0.0163468435	-0.0316772244	-0.0059719414	0.0068819626	-0.052253245499999997	0.1256140697	-0.0074248187	-0.0446755458	-0.0071097189	-0.0285478302	-0.0534998034	0.1012651448	0.1004581598	0.0991179452	0.00508868	-0.0363216	0.0285098	0.000835579	-0.000402677	0.0
-0.5084311366081238	0.1309536099433899	1.1340996	40.70132446	0.9909426	0.04297714999999999	-0.0842069356	0.08534065619999999	0.0427301093	-0.0492167647	0.0074126581	0.0200196652	-0.0970253883	0.0874484654	0.0148362574	-0.0338332798	0.0353882577	0.0066929632	0.1011321603	0.09992798189999999	0.0979316276	0.00027648	-0.0448377	0.0248061	0.000316676	-0.000402677	-5.29396e-23
-0.3408068120479584	0.2380542755126953	1.13481104	40.72685623	0.99784613	0.031900185	0.0687661858	-0.10104675980000001	0.0150319878	0.0931472475	0.09597278	-0.054494414000000005	0.07914718400000001	-0.0890557986	0.0503342772	0.041809242	-0.0136433937	-0.1208495936	0.1009726556	0.0992929934	0.09651422259999999	-0.00546375	-0.0521048	0.0248279	0.000497384	-0.000537574	-6.18161e-05
-1.4236707687377932	1.305695652961731	1.21478689	43.59708405	1.03203857	0.06697368500000002	0.0900901477	0.1154737138	-0.0733142219	-0.0983248903	-0.0023490893	-0.07819105629999999	0.0567024	0.1287452685	-0.1226096314	-0.0574425555	-0.07923086780000001	-0.0312373885	0.1007866726	0.0985538602	0.09486907480000001	-0.00385767	-0.0247597	0.0105265	0.000292483	-0.000329869	0.0
0.20183925330638885	1.8731540441513064	1.21910775	43.75215149	1.02499354	0.06825572	-0.1360079965	0.0488463714	0.0463118344	0.065819419	-0.0040285669	-0.0864748282	-0.1361310934	0.028588227999999997	0.075820335	0.0436912004	-0.049956565599999996	-0.021030755099999996	0.10057426009999999	0.09771135759999999	0.0930000661	-0.00822274	-0.0671786	0.0130423	0.000598794	-0.000402677	0.0
0.3487726449966431	1.0096125602722168	1.16829956	41.92871475	1.01622629	0.05450943	0.056693302599999995	-0.0235409752	-0.0544460038	0.017793707199999998	-0.1080778165	0.0195487545	0.044953436900000004	-0.035209375	-0.0777705059	0.0493155694	-0.04748534	0.0968674693	0.1003354737	0.0967663693	0.09091160699999999	-0.00609522	-0.0475701	-0.00153406	0.000710595	-0.000457984	-0.000196833
