2.731813369260151703e+01 1.758842324331506646e+01
1.133901118946149467e+01 3.220783361009306134e+01
2.391909838199952887e+01 7.408638782379897592e+00
8.360471005616543216e-02 5.953200733418297474e+00
3.733832739665396527e+00 5.967463423073264828e+00
6.495841209973316488e+00 3.575424610953368187e+01
2.519759632436774144e+00 1.232609279922442624e+01
1.178179131515526024e+01 1.353167507973597310e+02
1.951507040891646483e+01 6.192133547627621937e+01
1.118644826830957939e+01 6.947881100019083078e+01
