2.313846130674743762e-01 1.473548226066207611e+00
-2.481074680203995131e-01 4.091894267024523968e-01
-6.243936802435168243e-01 1.861660517490695055e+00
-2.904217326094282736e-01 1.550879967327277509e+00
-3.780975523992655130e-02 8.336287486161010341e-01
-1.795087749750447825e+00 1.146323105736371195e+00
-1.583213302431043745e+00 7.167595056794582309e-01
6.402112265714405837e-01 7.244225831333688248e-01
-7.899230816405009570e-01 2.008391645609359344e+00
1.100908720257584572e-01 1.339752137171720481e+00
